customer_id,recency,frequency,monetary,RFM_score,segment
1,129,2,115.38999999999999,522,High-value loyal customers
2,303,2,68.52000000000001,421,High-value loyal customers
3,1946,1,66.72,111,At-risk customers
4,823,2,279.86,324,High-value loyal customers
5,275,3,271.28999999999996,444,New buyers
6,339,4,387.40000000000003,454,New buyers
7,1147,2,96.81,222,At-risk customers
8,1911,1,207.4,113,At-risk customers
9,529,1,122.51,312,High-value loyal customers
10,944,3,398.85,244,New buyers
12,454,2,484.25,425,New buyers
14,4,3,380.89,544,New buyers
15,1277,2,40.06,221,At-risk customers
16,557,1,285.4,314,High-value loyal customers
17,600,3,791.85,345,Price-sensitive users
18,381,4,805.6400000000001,455,Price-sensitive users
19,1640,3,265.32,144,At-risk customers
20,161,4,499.73,555,New buyers
22,1888,1,169.83,113,At-risk customers
23,885,1,57.19,211,High-value loyal customers
25,224,2,318.95,424,High-value loyal customers
26,908,1,5.93,211,High-value loyal customers
27,684,2,75.13,322,High-value loyal customers
28,1893,1,44.21,111,At-risk customers
29,1843,1,16.8,111,At-risk customers
30,259,2,369.64,424,High-value loyal customers
31,79,2,296.48,524,High-value loyal customers
32,894,1,75.05,212,High-value loyal customers
34,108,6,464.48,555,New buyers
35,135,3,253.84,543,New buyers
36,758,3,183.79,343,New buyers
37,1097,2,239.32999999999998,223,At-risk customers
39,1000,3,358.38,244,New buyers
40,191,5,1025.31,555,Price-sensitive users
42,940,2,63.129999999999995,221,High-value loyal customers
43,61,3,675.04,545,New buyers
45,462,3,383.31,444,New buyers
46,32,2,72.24,521,High-value loyal customers
48,266,2,441.99,425,High-value loyal customers
49,576,3,580.52,345,New buyers
50,1673,1,186.6,113,At-risk customers
51,43,2,267.34,524,High-value loyal customers
52,835,2,108.4,322,High-value loyal customers
54,1249,2,180.43,223,At-risk customers
55,719,2,351.59,324,High-value loyal customers
56,659,3,220.51999999999998,343,New buyers
57,804,1,97.38,312,High-value loyal customers
58,846,2,246.35000000000002,323,High-value loyal customers
59,1342,1,81.92,112,At-risk customers
60,732,3,191.16,343,New buyers
61,56,3,288.46999999999997,544,New buyers
62,1586,3,393.98,144,At-risk customers
63,573,1,239.32,313,High-value loyal customers
64,761,1,32.27,311,High-value loyal customers
65,722,1,64.69,311,High-value loyal customers
66,1064,2,311.93,224,At-risk customers
68,1531,2,196.32,123,At-risk customers
69,166,2,502.8,525,New buyers
70,993,3,132.72,242,New buyers
72,476,2,215.5,423,High-value loyal customers
73,821,2,367.86,324,High-value loyal customers
74,329,5,429.62,454,New buyers
75,79,1,589.54,515,High-value loyal customers
76,1095,3,306.15,244,New buyers
78,219,2,362.26,524,High-value loyal customers
79,510,3,887.65,345,Price-sensitive users
80,37,2,367.45000000000005,524,High-value loyal customers
81,482,5,334.91999999999996,454,New buyers
82,544,1,37.63,311,High-value loyal customers
85,1350,1,75.05,112,At-risk customers
86,1226,1,245.08,213,At-risk customers
91,73,5,727.7099999999999,555,Price-sensitive users
92,63,4,344.28,554,New buyers
93,1589,2,126.78,122,At-risk customers
94,1533,1,407.08,114,At-risk customers
95,266,2,500.46999999999997,425,New buyers
97,1158,2,278.23,224,At-risk customers
98,1394,1,59.52,111,At-risk customers
99,36,4,730.92,555,Price-sensitive users
100,609,4,297.38,354,New buyers
101,235,4,601.5699999999999,455,New buyers
102,326,4,404.15,454,New buyers
103,880,1,12.37,211,High-value loyal customers
104,1165,2,145.17000000000002,222,At-risk customers
105,2111,1,324.03,114,At-risk customers
106,734,2,101.59,322,High-value loyal customers
107,804,2,397.49,324,High-value loyal customers
108,1106,2,453.75,225,At-risk customers
109,140,1,1290.44,515,Price-sensitive users
110,537,1,30.12,311,High-value loyal customers
112,1158,1,44.71,211,At-risk customers
113,211,1,50.89,511,High-value loyal customers
114,1206,1,202.8,213,At-risk customers
117,31,5,1355.8400000000001,555,Price-sensitive users
118,227,3,266.13,444,New buyers
120,1267,2,193.42000000000002,223,At-risk customers
121,538,2,160.79000000000002,323,High-value loyal customers
123,278,2,160.86,423,High-value loyal customers
124,1169,2,216.86,223,At-risk customers
127,530,2,419.14000000000004,324,High-value loyal customers
128,1515,3,202.05,143,At-risk customers
129,388,2,359.8,424,High-value loyal customers
130,260,2,122.73,422,High-value loyal customers
133,1267,1,90.99,212,At-risk customers
134,174,1,243.78,513,High-value loyal customers
135,1307,1,7.82,211,At-risk customers
138,735,1,15.86,311,High-value loyal customers
140,1772,1,215.51,113,At-risk customers
141,165,5,573.52,555,New buyers
142,1064,2,405.84000000000003,224,At-risk customers
143,15,3,409.48,544,New buyers
144,327,2,160.97,423,High-value loyal customers
146,1348,3,268.28999999999996,144,At-risk customers
147,513,3,681.71,345,Price-sensitive users
148,14,1,224.01,513,High-value loyal customers
149,1283,1,140.18,212,At-risk customers
150,1845,1,171.96,113,At-risk customers
151,1374,1,90.75,112,At-risk customers
152,1003,3,171.37,243,New buyers
154,373,3,145.82999999999998,442,New buyers
155,1815,1,39.06,111,At-risk customers
156,498,1,30.56,311,High-value loyal customers
157,2088,1,325.46,114,At-risk customers
158,35,1,50.38,511,High-value loyal customers
160,164,3,133.99,542,New buyers
161,1039,2,862.8399999999999,225,Price-sensitive users
162,949,3,236.25,243,New buyers
163,94,2,379.41999999999996,524,High-value loyal customers
164,912,2,190.9,223,High-value loyal customers
165,627,3,293.82,344,New buyers
166,1244,2,293.41999999999996,224,At-risk customers
167,950,1,237.34,213,High-value loyal customers
169,635,2,180.9,323,High-value loyal customers
171,103,3,115.21000000000001,542,New buyers
172,465,2,544.05,425,New buyers
173,1239,4,572.79,255,New buyers
174,452,3,522.14,445,New buyers
175,368,5,441.37,455,New buyers
176,206,1,67.32,511,High-value loyal customers
177,1846,2,149.46,122,At-risk customers
178,91,1,56.09,511,High-value loyal customers
179,1035,1,69.45,211,At-risk customers
180,1940,1,249.08,113,At-risk customers
181,950,3,653.41,245,New buyers
182,898,1,139.43,212,High-value loyal customers
183,615,2,181.14999999999998,323,High-value loyal customers
184,110,1,247.08,513,High-value loyal customers
185,336,3,575.53,445,New buyers
186,247,2,201.48,423,High-value loyal customers
187,279,4,203.45,453,New buyers
188,589,4,466.2,355,New buyers
189,763,2,371.33000000000004,324,High-value loyal customers
190,1180,1,109.31,212,At-risk customers
191,1723,1,30.64,111,At-risk customers
192,1692,1,106.4,112,At-risk customers
193,377,2,180.55,423,High-value loyal customers
194,1958,1,46.87,111,At-risk customers
196,1171,2,444.5,225,At-risk customers
197,1332,2,118.83000000000001,222,At-risk customers
198,415,1,877.96,415,Price-sensitive users
199,1845,1,178.72,113,At-risk customers
200,885,2,104.17,222,High-value loyal customers
201,1742,1,138.19,112,At-risk customers
202,991,1,445.93,215,At-risk customers
203,1398,1,47.62,111,At-risk customers
204,133,1,123.35,512,High-value loyal customers
205,119,3,266.90999999999997,544,New buyers
206,854,2,275.33,224,High-value loyal customers
207,1740,2,335.36,124,At-risk customers
208,476,4,244.21,453,New buyers
209,557,2,514.09,325,New buyers
210,1464,2,494.76,125,At-risk customers
211,454,2,150.69,422,High-value loyal customers
212,1108,1,76.07,212,At-risk customers
214,79,3,366.75,544,New buyers
215,1026,1,147.06,212,At-risk customers
216,269,2,461.90999999999997,425,New buyers
218,361,2,307.51,424,High-value loyal customers
219,1207,1,56.86,211,At-risk customers
221,1457,1,44.27,111,At-risk customers
222,33,2,108.74,522,High-value loyal customers
223,1838,3,205.22,143,At-risk customers
224,37,1,100.07,512,High-value loyal customers
225,369,2,84.63,422,High-value loyal customers
226,58,2,190.82999999999998,523,High-value loyal customers
227,2018,1,82.47,112,At-risk customers
228,214,2,180.83999999999997,523,High-value loyal customers
229,758,1,116.54,312,High-value loyal customers
231,1933,1,54.03,111,At-risk customers
233,1321,1,199.88,213,At-risk customers
234,185,1,7.26,511,High-value loyal customers
235,1903,1,135.36,112,At-risk customers
236,227,3,677.15,445,New buyers
237,199,4,693.97,555,Price-sensitive users
238,751,2,284.27,324,High-value loyal customers
239,261,2,787.76,425,Price-sensitive users
240,351,2,49.32,421,High-value loyal customers
241,551,1,41.65,311,High-value loyal customers
243,1723,1,233.7,113,At-risk customers
244,346,1,45.56,411,High-value loyal customers
246,93,1,228.32,513,High-value loyal customers
247,1378,1,51.9,111,At-risk customers
248,70,1,96.51,512,High-value loyal customers
250,212,3,247.66000000000003,543,New buyers
251,1399,1,213.07,113,At-risk customers
253,73,3,1030.41,545,Price-sensitive users
254,405,5,510.58000000000004,455,New buyers
255,295,3,183.28,443,New buyers
256,1055,1,172.23,213,At-risk customers
257,343,4,274.03000000000003,454,New buyers
258,2131,1,69.26,111,At-risk customers
259,1828,1,147.49,112,At-risk customers
261,1580,2,962.45,125,Price-sensitive users
262,3,1,692.35,515,High-value loyal customers
263,44,3,50.82,541,New buyers
264,353,4,322.40000000000003,454,New buyers
265,257,4,910.64,455,Price-sensitive users
266,681,4,647.9,355,Price-sensitive users
269,286,2,114.08,422,High-value loyal customers
270,28,2,321.34000000000003,524,High-value loyal customers
271,572,2,86.27,322,High-value loyal customers
272,723,1,90.44,312,High-value loyal customers
273,593,2,408.30999999999995,324,High-value loyal customers
275,30,2,169.07,523,High-value loyal customers
276,370,3,217.24999999999997,443,New buyers
277,585,1,57.89,311,High-value loyal customers
278,578,2,111.18,322,High-value loyal customers
279,768,2,270.7,324,High-value loyal customers
280,160,1,44.18,511,High-value loyal customers
281,415,2,47.91,421,High-value loyal customers
283,552,2,54.84,321,High-value loyal customers
284,529,2,554.8000000000001,325,New buyers
285,743,2,147.82,322,High-value loyal customers
286,614,1,372.36,314,High-value loyal customers
288,296,3,409.71999999999997,444,New buyers
289,643,2,959.12,325,Price-sensitive users
291,36,2,213.03,523,High-value loyal customers
293,1438,1,75.91,112,At-risk customers
294,1021,2,1064.59,225,Price-sensitive users
296,1363,1,31.72,111,At-risk customers
297,1828,2,112.72,122,At-risk customers
298,222,2,86.07,522,High-value loyal customers
299,1644,1,126.67,112,At-risk customers
302,222,1,435.02,515,High-value loyal customers
303,306,2,250.29,423,High-value loyal customers
304,1299,2,230.92,223,At-risk customers
305,414,4,348.22,454,New buyers
306,1319,1,87.06,212,At-risk customers
307,703,1,78.99,312,High-value loyal customers
308,1823,2,115.01,122,At-risk customers
309,415,1,12.97,411,High-value loyal customers
310,1731,2,171.87,123,At-risk customers
311,1024,2,246.18,223,At-risk customers
312,336,2,77.04,422,High-value loyal customers
314,197,3,852.49,545,Price-sensitive users
315,414,4,347.73,454,New buyers
316,331,3,855.77,445,Price-sensitive users
317,437,3,228.84,443,New buyers
318,495,3,618.1800000000001,345,New buyers
320,165,5,426.47,554,New buyers
322,151,4,330.42,554,New buyers
323,948,2,78.52000000000001,222,High-value loyal customers
324,1604,1,225.48,113,At-risk customers
326,562,1,168.69,313,High-value loyal customers
327,210,6,1008.15,555,Price-sensitive users
331,1026,1,48.64,211,At-risk customers
332,1281,1,130.03,212,At-risk customers
333,964,2,29.0,221,High-value loyal customers
334,126,5,805.12,555,Price-sensitive users
335,1177,2,203.32999999999998,223,At-risk customers
336,13,3,546.58,545,New buyers
337,1861,1,586.78,115,At-risk customers
339,849,1,162.55,313,High-value loyal customers
341,540,1,23.61,311,High-value loyal customers
342,1224,1,29.46,211,At-risk customers
343,1005,3,725.09,245,Price-sensitive users
344,202,3,361.03,544,New buyers
345,34,2,620.09,525,New buyers
346,672,1,17.47,311,High-value loyal customers
347,2046,1,259.6,114,At-risk customers
348,1953,1,143.19,112,At-risk customers
349,1390,3,418.85,144,New buyers
350,826,2,231.42,323,High-value loyal customers
351,1257,1,161.63,213,At-risk customers
352,302,3,290.25,444,New buyers
353,501,2,423.38,324,High-value loyal customers
354,647,4,334.27,354,New buyers
356,1470,1,97.89,112,At-risk customers
357,1780,1,179.55,113,At-risk customers
358,1865,1,231.1,113,At-risk customers
359,326,3,260.20000000000005,444,New buyers
360,413,1,57.01,411,High-value loyal customers
361,1952,2,225.15,123,At-risk customers
362,351,4,696.85,455,Price-sensitive users
363,519,1,65.85,311,High-value loyal customers
364,1599,1,242.78,113,At-risk customers
365,672,1,183.55,313,High-value loyal customers
366,43,1,187.57,513,High-value loyal customers
369,866,3,510.78999999999996,245,New buyers
370,1282,2,434.9,225,At-risk customers
371,832,1,117.47,312,High-value loyal customers
372,1194,3,2978.28,245,Price-sensitive users
373,252,1,104.84,412,High-value loyal customers
375,139,2,205.58999999999997,523,High-value loyal customers
376,1,2,260.42,524,High-value loyal customers
377,816,1,251.58,313,High-value loyal customers
379,2065,1,50.05,111,At-risk customers
381,1971,2,220.97,123,At-risk customers
382,431,2,853.3299999999999,425,Price-sensitive users
385,1363,3,270.92,144,At-risk customers
386,524,1,43.79,311,High-value loyal customers
387,108,2,223.79000000000002,523,High-value loyal customers
389,424,3,257.78,444,New buyers
390,1507,1,120.95,112,At-risk customers
392,659,2,258.56,324,High-value loyal customers
393,841,3,679.75,345,Price-sensitive users
394,1629,1,158.16,113,At-risk customers
395,351,5,1273.1499999999999,455,Price-sensitive users
396,1695,1,5.93,111,At-risk customers
397,401,2,73.53,421,High-value loyal customers
398,402,3,602.46,445,New buyers
399,945,2,614.89,225,New buyers
400,508,1,80.65,312,High-value loyal customers
401,181,2,39.1,521,High-value loyal customers
402,330,3,1015.68,445,Price-sensitive users
403,112,2,122.44,522,High-value loyal customers
405,349,1,75.36,412,High-value loyal customers
406,1354,1,234.11,113,At-risk customers
407,1633,2,263.65999999999997,124,At-risk customers
408,1803,1,107.6,112,At-risk customers
410,1405,1,168.95,113,At-risk customers
412,271,1,201.76,413,High-value loyal customers
413,770,1,133.44,312,High-value loyal customers
414,995,2,450.04,225,High-value loyal customers
415,821,5,661.19,355,Price-sensitive users
416,74,2,225.0,523,High-value loyal customers
417,12,2,183.79,523,High-value loyal customers
419,1052,3,375.33000000000004,244,New buyers
420,116,3,414.11,544,New buyers
421,1122,1,42.13,211,At-risk customers
422,213,1,122.43,512,High-value loyal customers
423,1167,2,165.3,223,At-risk customers
424,283,1,17.34,411,High-value loyal customers
425,1077,3,105.2,242,New buyers
426,18,2,305.43,524,High-value loyal customers
428,585,1,25.71,311,High-value loyal customers
429,115,1,28.59,511,High-value loyal customers
430,630,3,568.53,345,New buyers
431,151,2,271.08000000000004,524,High-value loyal customers
432,60,4,514.5699999999999,555,New buyers
433,3,3,398.26,544,New buyers
434,22,1,207.64,513,High-value loyal customers
435,341,1,52.87,411,High-value loyal customers
436,161,3,431.42999999999995,545,New buyers
438,463,1,37.17,411,High-value loyal customers
439,179,4,207.1,553,New buyers
441,1959,1,813.98,115,At-risk customers
442,1680,1,43.85,111,At-risk customers
443,1998,1,10.11,111,At-risk customers
444,1294,1,248.16,213,At-risk customers
445,1880,1,52.58,111,At-risk customers
449,110,1,11.92,511,High-value loyal customers
450,1397,1,85.03,112,At-risk customers
451,34,3,380.80999999999995,544,New buyers
452,2118,1,148.93,112,At-risk customers
453,1078,2,145.88,222,At-risk customers
454,95,2,206.05,523,High-value loyal customers
455,288,6,1105.2,455,Price-sensitive users
456,665,2,125.47,322,High-value loyal customers
457,300,4,348.7,454,New buyers
458,860,3,163.92000000000002,243,New buyers
459,140,5,340.08000000000004,554,New buyers
463,510,2,544.51,325,New buyers
465,184,2,82.91,522,High-value loyal customers
466,481,2,97.30000000000001,422,High-value loyal customers
467,212,1,7.98,511,High-value loyal customers
469,386,2,448.52,425,High-value loyal customers
470,464,1,150.37,412,High-value loyal customers
472,533,3,523.71,345,New buyers
474,496,2,431.03,325,High-value loyal customers
475,23,4,785.3600000000001,555,Price-sensitive users
476,647,2,220.88,323,High-value loyal customers
477,522,5,321.01,354,New buyers
478,1781,2,127.07,122,At-risk customers
479,1385,1,109.67,112,At-risk customers
481,683,3,368.36,344,New buyers
482,655,3,742.42,345,Price-sensitive users
483,64,4,563.77,555,New buyers
484,1049,2,306.15000000000003,224,At-risk customers
485,321,4,323.09999999999997,454,New buyers
487,468,2,774.5,425,Price-sensitive users
488,965,3,352.45,244,New buyers
489,51,4,173.73,553,New buyers
490,78,1,57.72,511,High-value loyal customers
493,82,3,384.1,544,New buyers
494,980,1,217.85,213,At-risk customers
495,34,5,345.51,554,New buyers
496,356,3,384.93,444,New buyers
497,692,2,438.76,325,High-value loyal customers
498,18,5,941.15,555,Price-sensitive users
499,1366,3,519.8,145,New buyers
500,95,3,364.54,544,New buyers
502,2033,1,159.49,113,At-risk customers
503,1201,5,2100.96,255,Price-sensitive users
504,188,3,405.38,544,New buyers
505,681,4,705.02,355,Price-sensitive users
506,75,2,257.02000000000004,524,High-value loyal customers
507,1497,1,375.01,114,At-risk customers
508,11,2,502.09,525,New buyers
509,582,2,256.15999999999997,323,High-value loyal customers
510,1329,3,728.9499999999999,245,Price-sensitive users
511,1345,1,73.44,111,At-risk customers
512,888,1,89.9,212,High-value loyal customers
513,503,2,213.52,323,High-value loyal customers
514,301,2,182.92000000000002,423,High-value loyal customers
515,365,3,747.6400000000001,445,Price-sensitive users
516,1947,1,35.48,111,At-risk customers
518,94,5,227.76,553,New buyers
519,820,3,122.53,342,New buyers
520,1598,1,66.78,111,At-risk customers
521,1977,1,59.77,111,At-risk customers
523,464,2,116.15,422,High-value loyal customers
524,365,3,479.61,445,New buyers
525,1053,1,275.5,214,At-risk customers
527,1415,2,110.59,122,At-risk customers
528,621,2,173.12,323,High-value loyal customers
529,1836,1,6.93,111,At-risk customers
531,457,5,310.08,454,New buyers
533,45,4,383.92999999999995,554,New buyers
536,154,3,432.58000000000004,545,New buyers
537,501,1,25.51,311,High-value loyal customers
538,2074,1,84.31,112,At-risk customers
540,1487,2,350.04,124,At-risk customers
541,358,1,47.24,411,High-value loyal customers
542,1166,2,570.47,225,At-risk customers
543,36,3,168.63,543,New buyers
545,1439,2,309.25,124,At-risk customers
546,275,1,42.58,411,High-value loyal customers
547,636,2,242.24,323,High-value loyal customers
548,514,1,15.86,311,High-value loyal customers
549,1462,2,142.38,122,At-risk customers
550,2095,1,684.68,115,At-risk customers
551,1869,1,471.96,115,At-risk customers
552,1623,3,329.31,144,At-risk customers
553,232,1,137.54,412,High-value loyal customers
554,369,1,508.23,415,High-value loyal customers
555,138,3,253.93,543,New buyers
556,938,1,40.57,211,High-value loyal customers
557,231,3,501.1,445,New buyers
558,588,1,35.76,311,High-value loyal customers
560,52,1,140.37,512,High-value loyal customers
562,166,1,307.53,514,High-value loyal customers
564,445,1,16.09,411,High-value loyal customers
565,1009,2,356.78000000000003,224,High-value loyal customers
566,635,3,698.71,345,Price-sensitive users
567,81,1,19.56,511,High-value loyal customers
569,1437,2,119.02,122,At-risk customers
570,831,1,17.78,311,High-value loyal customers
571,804,4,477.16,355,New buyers
572,1065,1,289.64,214,At-risk customers
573,413,2,757.79,425,Price-sensitive users
575,1428,1,79.58,112,At-risk customers
576,1695,1,93.06,112,At-risk customers
577,1019,1,86.29,212,At-risk customers
578,170,2,552.5600000000001,525,New buyers
579,1733,1,24.47,111,At-risk customers
582,970,1,88.93,212,At-risk customers
583,2042,1,356.66,114,At-risk customers
584,603,2,139.67000000000002,322,High-value loyal customers
585,365,3,103.97999999999999,442,New buyers
586,750,2,169.78,323,High-value loyal customers
587,256,3,651.41,445,New buyers
588,846,1,136.67,312,High-value loyal customers
589,1390,1,23.83,111,At-risk customers
590,58,4,374.37,554,New buyers
591,214,4,603.29,555,New buyers
593,62,2,385.30999999999995,524,High-value loyal customers
594,503,4,221.83,353,New buyers
595,180,5,371.78000000000003,554,New buyers
597,229,1,516.4,415,High-value loyal customers
598,474,3,298.85,444,New buyers
599,719,2,328.52,324,High-value loyal customers
602,934,1,100.77,212,High-value loyal customers
605,746,4,401.64,354,New buyers
606,749,2,740.97,325,Price-sensitive users
608,637,3,209.26,343,New buyers
609,174,3,527.07,545,New buyers
610,1044,2,145.29000000000002,222,At-risk customers
611,1000,1,597.26,215,At-risk customers
612,551,5,1055.32,355,Price-sensitive users
613,2022,1,515.82,115,At-risk customers
614,1392,3,466.38,145,New buyers
615,1002,2,334.41999999999996,224,High-value loyal customers
616,2086,1,202.41,113,At-risk customers
617,1459,1,31.09,111,At-risk customers
618,1419,1,39.6,111,At-risk customers
619,629,2,622.9300000000001,325,New buyers
624,1391,1,37.77,111,At-risk customers
626,167,3,188.42,543,New buyers
629,142,2,271.02,524,High-value loyal customers
630,130,1,3.32,511,High-value loyal customers
631,662,2,220.86,323,High-value loyal customers
632,1759,3,611.69,145,At-risk customers
634,110,2,1300.17,525,Price-sensitive users
635,49,2,337.37,524,High-value loyal customers
636,940,2,184.54,223,High-value loyal customers
637,107,2,601.77,525,New buyers
638,1014,4,568.65,255,New buyers
640,1349,1,11.64,111,At-risk customers
641,224,1,52.89,411,High-value loyal customers
642,308,1,27.12,411,High-value loyal customers
643,198,4,248.51000000000002,553,New buyers
644,431,5,936.9200000000001,455,Price-sensitive users
645,885,2,273.41,224,High-value loyal customers
646,787,3,415.99,344,New buyers
647,1235,1,31.86,211,At-risk customers
649,130,1,12.97,511,High-value loyal customers
650,1659,1,79.62,112,At-risk customers
651,62,2,364.51,524,High-value loyal customers
652,427,2,200.09,423,High-value loyal customers
653,1031,4,718.9000000000001,255,Price-sensitive users
654,542,3,339.24,344,New buyers
655,1026,2,143.82999999999998,222,At-risk customers
656,211,2,178.98000000000002,523,High-value loyal customers
657,834,2,326.79,324,High-value loyal customers
658,1303,1,120.95,212,At-risk customers
659,1015,2,435.18,225,High-value loyal customers
660,421,3,270.98,444,New buyers
662,31,4,244.03,553,New buyers
663,1213,4,296.75,254,New buyers
664,597,2,251.51999999999998,323,High-value loyal customers
665,1199,1,361.61,214,At-risk customers
666,700,3,130.15,342,New buyers
667,1613,2,30.33,121,At-risk customers
668,443,2,109.45000000000002,422,High-value loyal customers
669,1160,3,171.43,243,New buyers
670,348,2,85.86,422,High-value loyal customers
672,1725,1,127.01,112,At-risk customers
673,580,2,128.32999999999998,322,High-value loyal customers
674,947,1,28.57,211,High-value loyal customers
675,810,1,23.7,311,High-value loyal customers
676,1495,1,185.24,113,At-risk customers
677,1247,1,223.87,213,At-risk customers
680,906,2,570.6600000000001,225,New buyers
681,738,1,103.44,312,High-value loyal customers
682,273,1,109.01,412,High-value loyal customers
683,737,1,195.58,313,High-value loyal customers
684,286,3,225.71,443,New buyers
685,629,5,675.8399999999999,355,Price-sensitive users
686,1267,2,103.14,222,At-risk customers
688,1768,1,46.29,111,At-risk customers
689,246,1,205.72,413,High-value loyal customers
691,63,3,307.62,544,New buyers
692,29,3,298.52,544,New buyers
693,674,2,262.5,324,High-value loyal customers
694,154,1,590.75,515,High-value loyal customers
695,966,4,195.59,253,New buyers
696,379,1,181.92,413,High-value loyal customers
697,1508,2,213.01999999999998,123,At-risk customers
698,842,2,472.56,325,New buyers
699,709,2,102.16,322,High-value loyal customers
701,920,1,405.24,214,High-value loyal customers
702,184,2,175.06,523,High-value loyal customers
703,143,4,427.01,554,New buyers
704,26,1,161.42,513,High-value loyal customers
705,273,1,15.18,411,High-value loyal customers
706,1523,2,383.94,124,At-risk customers
707,471,3,306.03,444,New buyers
708,79,4,169.14,553,New buyers
709,775,1,23.83,311,High-value loyal customers
710,1888,1,35.43,111,At-risk customers
711,1619,1,113.27,112,At-risk customers
712,763,1,102.08,312,High-value loyal customers
714,137,3,480.02,545,New buyers
715,328,1,97.43,412,High-value loyal customers
716,80,1,515.63,515,High-value loyal customers
718,518,3,268.3,344,New buyers
719,640,1,261.83,314,High-value loyal customers
720,426,1,39.62,411,High-value loyal customers
723,258,4,539.7,455,New buyers
726,1747,1,75.93,112,At-risk customers
727,71,2,54.49,521,High-value loyal customers
728,578,2,346.81,324,High-value loyal customers
729,652,1,43.66,311,High-value loyal customers
730,861,2,563.06,225,New buyers
732,46,2,299.9,524,High-value loyal customers
733,59,3,296.94,544,New buyers
734,50,5,353.59999999999997,554,New buyers
735,25,1,41.32,511,High-value loyal customers
738,1271,2,591.38,225,At-risk customers
739,761,2,176.23,323,High-value loyal customers
740,36,2,116.75,522,High-value loyal customers
741,43,3,1045.67,545,Price-sensitive users
742,1781,1,8.68,111,At-risk customers
744,814,2,357.1,324,High-value loyal customers
745,17,3,979.6500000000001,545,Price-sensitive users
748,369,1,165.93,413,High-value loyal customers
749,1847,1,160.63,113,At-risk customers
750,454,1,141.65,412,High-value loyal customers
751,1842,1,91.14,112,At-risk customers
753,367,2,423.17,424,High-value loyal customers
755,1704,1,10.38,111,At-risk customers
757,154,2,670.0999999999999,525,New buyers
758,1134,1,8.53,211,At-risk customers
759,1447,1,165.11,113,At-risk customers
760,107,2,248.53,523,High-value loyal customers
761,106,3,276.69,544,New buyers
763,131,2,268.32,524,High-value loyal customers
764,1424,1,392.03,114,At-risk customers
766,1427,2,188.8,123,At-risk customers
767,415,2,194.06,423,High-value loyal customers
768,839,1,128.97,312,High-value loyal customers
769,877,2,908.51,225,Price-sensitive users
770,1662,1,180.45,113,At-risk customers
771,66,3,497.35,545,New buyers
772,332,4,343.99,454,New buyers
773,1281,3,436.4,245,New buyers
774,564,1,169.84,313,High-value loyal customers
775,894,4,326.02,254,New buyers
776,711,2,528.01,325,New buyers
777,81,2,374.9,524,High-value loyal customers
778,1191,2,246.2,223,At-risk customers
779,887,1,7.45,211,High-value loyal customers
780,1412,1,203.1,113,At-risk customers
781,87,3,426.62,544,New buyers
782,38,2,107.64,522,High-value loyal customers
784,1298,3,131.89,242,At-risk customers
785,158,3,461.38,545,New buyers
786,1493,1,6.63,111,At-risk customers
787,1566,1,12.16,111,At-risk customers
788,205,2,91.03999999999999,522,High-value loyal customers
789,601,2,92.61000000000001,322,High-value loyal customers
790,389,4,321.15,454,New buyers
791,644,7,683.48,355,Price-sensitive users
